Laureate 1 0 1 ﻿Nobel Derek O
Derek 1 1 1 Laureate Walcott B-PER
Walcott 1 1 0 Derek has I-PER
has 0 1 0 Walcott won O
won 0 0 0 has the O
the 0 0 1 won Poetry O
Poetry 1 0 1 the Book O
Book 1 1 1 Poetry Society’s O
Society’s 1 1 1 Book 2010 O
2010 1 1 1 Society’s T O
T 1 1 1 2010 S O
S 1 1 1 T Eliot O
Eliot 1 1 1 S Prize O
Prize 1 1 0 Eliot for O
for 0 1 0 Prize his O
his 0 0 0 for latest O
latest 0 0 0 his book O
book 0 0 1 latest White O
White 1 0 1 book Egrets O
Egrets 1 1 1 White . O
. 1 1 1 Egrets Professor O
Professor 1 1 1 . Walcott O
Walcott 1 1 1 Professor , B-PER
, 1 1 0 Walcott who O
who 0 1 0 , is O
is 0 0 1 who Professor O
Professor 1 0 0 is of O
of 0 1 1 Professor Poetry O
Poetry 1 0 0 of at O
at 0 1 0 Poetry the O
the 0 0 1 at University O
University 1 0 0 the of O
of 0 1 1 University Essex O
Essex 1 0 1 of , O
, 1 1 0 Essex was O
was 0 1 0 , chosen O
chosen 0 0 0 was for O
for 0 0 0 chosen the O
the 0 0 1 for T O
T 1 0 1 the S O
S 1 1 1 T Eliot O
Eliot 1 1 1 S Prize O
Prize 1 1 0 Eliot from O
from 0 1 0 Prize a O
a 0 0 0 from field O
field 0 0 0 a of O
of 0 0 0 field ten O
ten 0 0 0 of highly-regarded O
highly-regarded 0 0 0 ten poets O
poets 0 0 0 highly-regarded from O
from 0 0 0 poets around O
around 0 0 0 from the O
the 0 0 0 around world O
world 0 0 1 the . O
. 1 0 1 world The O
The 1 1 0 . judging O
judging 0 1 0 The panel O
panel 0 0 0 judging included O
included 0 0 0 panel chair O
chair 0 0 1 included Anne O
Anne 1 0 1 chair Stevenson B-PER
Stevenson 1 1 0 Anne and I-PER
and 0 1 0 Stevenson fellow-poets O
fellow-poets 0 0 1 and Bernardine O
Bernardine 1 0 1 fellow-poets Evaristo B-PER
Evaristo 1 1 0 Bernardine and I-PER
and 0 1 1 Evaristo Michael O
Michael 1 0 1 and Symmons B-PER
Symmons 1 1 1 Michael Roberts I-PER
Roberts 1 1 1 Symmons . I-PER
. 1 1 1 Roberts Stevenson O
Stevenson 1 1 1 . , B-PER
, 1 1 0 Stevenson speaking O
speaking 0 1 0 , at O
at 0 0 0 speaking the O
the 0 0 0 at TS O
TS 0 0 1 the Eliot O
Eliot 1 0 1 TS Prize O
Prize 1 1 0 Eliot award O
award 0 1 0 Prize ceremony O
ceremony 0 0 0 award at O
at 0 0 0 ceremony the O
the 0 0 1 at Wallace O
Wallace 1 0 1 the Collection O
Collection 1 1 0 Wallace in O
in 0 1 1 Collection London O
London 1 0 1 in , O
, 1 1 0 London said O
said 0 1 1 , : O
: 1 0 1 said " O
" 1 1 1 : This O
This 1 1 0 " year's O
year's 0 1 0 This exceptionally O
exceptionally 0 0 0 year's strong O
strong 0 0 0 exceptionally and O
and 0 0 0 strong varied O
varied 0 0 0 and shortlist O
shortlist 0 0 0 varied made O
made 0 0 0 shortlist it O
it 0 0 0 made difficult O
difficult 0 0 0 it to O
to 0 0 0 difficult choose O
choose 0 0 0 to the O
the 0 0 0 choose winner O
winner 0 0 1 the , O
, 1 0 0 winner but O
but 0 1 0 , the O
the 0 0 0 but judges O
judges 0 0 0 the felt O
felt 0 0 0 judges that O
that 0 0 1 felt Derek O
Derek 1 0 1 that Walcott B-PER
Walcott 1 1 1 Derek 's I-PER
's 1 1 1 Walcott White O
White 1 1 1 's Egrets O
Egrets 1 1 0 White was O
was 0 1 0 Egrets a O
a 0 0 0 was moving O
moving 0 0 1 a , O
, 1 0 0 moving risk-taking O
risk-taking 0 1 0 , and O
and 0 0 0 risk-taking technically O
technically 0 0 0 and flawless O
flawless 0 0 0 technically book O
book 0 0 0 flawless by O
by 0 0 0 book a O
a 0 0 0 by great O
great 0 0 0 a poet O
poet 0 0 1 great " O
" 1 0 1 poet . O
. 1 1 1 " Sixteen O
Sixteen 1 1 0 . social O
social 0 1 0 Sixteen science O
science 0 0 0 social research O
research 0 0 0 science students O
students 0 0 0 research will O
will 0 0 0 students be O
be 0 0 1 will Funded O
Funded 1 0 0 be to O
to 0 1 0 Funded study O
study 0 0 0 to at O
at 0 0 1 study Essex O
Essex 1 0 0 at each O
each 0 1 0 Essex year O
year 0 0 0 each for O
for 0 0 0 year the O
the 0 0 0 for next O
next 0 0 0 the five O
five 0 0 0 next years O
years 0 0 0 five following O
following 0 0 0 years the O
the 0 0 1 following University’s O
University’s 1 0 0 the accreditation O
accreditation 0 1 0 University’s as O
as 0 0 0 accreditation a O
a 0 0 0 as prestigious O
prestigious 0 0 1 a Doctoral O
Doctoral 1 0 1 prestigious Training O
Training 1 1 1 Doctoral Centre O
Centre 1 1 1 Training . O
. 1 1 1 Centre Essex O
Essex 1 1 0 . is O
is 0 1 0 Essex one O
one 0 0 0 is of O
of 0 0 0 one a O
a 0 0 0 of network O
network 0 0 0 a of O
of 0 0 0 network just O
just 0 0 1 of 21 O
21 1 0 0 just centres O
centres 0 1 0 21 across O
across 0 0 0 centres the O
the 0 0 0 across UK O
UK 0 0 0 the funded O
funded 0 0 0 UK by O
by 0 0 0 funded the O
the 0 0 1 by Economic O
Economic 1 0 0 the and O
and 0 1 1 Economic Social O
Social 1 0 1 and Research O
Research 1 1 1 Social Council O
Council 1 1 1 Research ( O
( 1 1 0 Council ESRC O
ESRC 0 1 1 ( ) O
) 1 0 0 ESRC to O
to 0 1 0 ) support O
